"","spp","plate","trt","dayGerm","root1","root2","root3","root4","root5","root6","root7","root8","root9","root10","root11","root12","day.hit.bottom","notes"
"37","arc","P05","ctrl",1,17.49,34.51,56.7,70.55,70.77,70.77,70.77,70.77,70.77,70.77,70.77,70.77,"none",""
"38","pim","P05","ctrl",1,19.02,35.14,58.08,77,97.96,118.48,137.7,NA,NA,NA,NA,NA,"7","hits bottom of plate at day 7"
"39","per","P05","ctrl",7,3.11,8.58,18.39,27.16,32.25,46.37,NA,NA,NA,NA,NA,NA,"none",""
"40","chm","P05","ctrl",1,26.4,35.72,44.84,51.09,58.85,64.43,68.96,70.85,70.85,72.26,72.26,74.72,"none","70.85"
"41","oid","P06","ctrl",1,23.38,51.93,78.13,108.03,127.11,NA,NA,NA,NA,NA,NA,NA,"5","hit bottom of plate at day 5"
"42","sit","P06","ctrl",1,10.91,23.8,39.44,54.18,69.62,83.82,99.42,116.73,125.49,NA,NA,NA,"9","hit bottom of plate at day 9"
"43","chi","P06","ctrl",1,13.43,23.95,36.27,48.76,63.57,77.81,92.29,108.05,124.18,NA,NA,NA,"9","hit bottom of plate after day 9"
"44","per","P06","ctrl",1,10.66,22.28,32.89,39.44,49.12,59.31,71.16,86.24,101.13,118.11,127.33,NA,"11","hit the bottom of the plat at day 11"
"45","lyc","P06","ctrl",1,27.6,48.68,73.52,96.41,121.15,138.26,NA,NA,NA,NA,NA,NA,"6","hit bottom of plate at day 6"
"46","pim","P06","ctrl",1,22.56,41.68,61.36,79.62,100.41,121.11,135.76,NA,NA,NA,NA,NA,"7",""
"47","hab","P06","ctrl",1,8.05,14.6,24.51,35.05,46.49,57.83,69.74,83.2,96.96,110.79,120.75,130.97,"none",""
"48","lyc","P07","ctrl",1,10.47,11.6,11.87,12.12,12.12,15.28,NA,NA,NA,NA,NA,NA,"6","fell to bottom of plate at day 6"
"49","chm","P07","ctrl",1,16.74,25.29,35.06,42.7,48.27,50.13,50.44,49.76,49.63,50.19,51.63,58.32,"none",""
"50","hab","P07","ctrl",1,11.02,18.23,27.77,37.25,48.28,59.99,71.18,83.48,96.16,110.78,119.55,NA,"11","hit bottom of plat at day 12"
"51","pim","P07","ctrl",1,24.01,40.98,58.42,75.64,95.4,116.3,NA,NA,NA,NA,NA,NA,"6","hit bottom of plat at day 7"
"52","arc","P07","ctrl",7,3.15,7.32,11.29,19.44,21.36,22.08,NA,NA,NA,NA,NA,NA,"none",""
"53","sit","P07","ctrl",1,15.18,22.43,28.63,36.86,50.58,58.4,65.18,72.76,79.67,88.53,93.56,102.84,"none",""
"54","chi","P07","ctrl",1,15.87,26.98,48.43,67.54,89.28,109.78,129.72,NA,NA,NA,NA,NA,"7","hit bottom of plate at day 7"
"55","per","P07","ctrl",3,5.39,17.16,31.83,44.13,54.91,67.89,81.34,94.11,100.66,113.13,NA,NA,"none",""
"56","chm","P08","ctrl",1,6.23,7.48,10.24,12.17,12.17,12.17,12.76,NA,NA,NA,NA,NA,"7","stays about the same after day 7"
"57","pen","P08","ctrl",1,14.97,24.37,35.76,46.34,59.46,72.61,85.61,101.38,117.34,NA,NA,NA,"10","hits bottom of plate at day 10"
"58","hab","P08","ctrl",1,2.81,16.51,23.36,29.9,38.58,47.23,55.78,66.19,77.23,89.43,97.37,112.37,"none",""
"59","sit","P08","ctrl",1,2.94,9.32,18.52,30.29,43.4,55.05,66.14,79.5,91.48,100.82,105.05,114.3,"none",""
"60","lyc","P08","ctrl",6,4.22,9.31,20.3,36.05,52.15,65.11,86.11,NA,NA,NA,NA,NA,"none",""
"61","per","P08","ctrl",1,9.54,21.52,36.65,49.1,61.83,73.49,85.37,98.58,112.18,124.43,NA,NA,"10","hit bottom of plat at day 10"
"62","oid","P08","ctrl",2,9.91,32.13,52.56,71.32,89.52,103.06,110.3,112.9,117.58,120.53,124.04,NA,"none",""
"63","pim","P08","ctrl",1,9.44,27.49,50.22,71.6,95.1,119,NA,NA,NA,NA,NA,NA,"6","hit bottom of plate after day 6"
"64","chi","P08","ctrl",1,3.82,10.83,24.98,39.99,55.84,71.93,88.24,106.83,125.5,NA,NA,NA,"9","hit bottom of plate after day 9"
"65","sit","P09","ctrl",1,11.82,23.06,27.46,30.99,31.18,31.18,31.44,31.44,31.44,31.44,31.44,31.44,"none",""
"66","oid","P09","ctrl",3,2.8,12.02,33.84,61.37,84.17,104.83,123.78,NA,NA,NA,NA,NA,"10","hit bottom of plate after day 9"
"67","pim","P09","ctrl",1,20.37,33.58,50.42,67.35,85.83,104.12,123.45,137.93,NA,NA,NA,NA,"8","hit bottom of plate after day 8"
