"","spp","plate","trt","dayGerm","variable","stemLen","day","spptrt","ID","phylo"
"111","per","P14","cold","0","stem1",3.573172004,1,"percold","perP14","per"
"112","chi","P14","cold","0","stem1",3.84729321,1,"chicold","chiP14","chi"
"113","pim","P14","cold","0","stem1",9.29446125,1,"pimcold","pimP14","pim"
"114","sit","P14","cold","1","stem1",0,1,"sitcold","sitP14","sit"
"115","lyc","P14","cold","6","stem1",0,1,"lyccold","lycP14","lyc"
"116","chm","P15","cold","0","stem1",2.2213414,1,"chmcold","chmP15","chm"
"117","arc","P15","cold","0","stem1",3.912694273,1,"arccold","arcP15","arc"
"118","per","P15","cold","1","stem1",0,1,"percold","perP15","per"
"119","sit","P15","cold","1","stem1",2.656514029,1,"sitcold","sitP15","sit"
"120","hab","P15","cold","1","stem1",2.020757275,1,"habcold","habP15","hab"
"121","chi","P15","cold","1","stem1",2.931469699,1,"chicold","chiP15","chi"
"122","lyc","P15","cold","0","stem1",8.990299364,1,"lyccold","lycP15","lyc"
"123","pim","P15","cold","1","stem1",2.284969229,1,"pimcold","pimP15","pim"
"124","oid","P15","cold","1","stem1",0,1,"oidcold","oidP15","oid"
"125","chi","P16","cold","1","stem1",1.693230416,1,"chicold","chiP16","chi"
"126","per","P16","cold","4","stem1",0,1,"percold","perP16","per"
"127","oid","P16","cold","3","stem1",0,1,"oidcold","oidP16","oid"
"128","pim","P16","cold","0","stem1",6.037029311,1,"pimcold","pimP16","pim"
"129","chm","P16","cold","1","stem1",1.779493064,1,"chmcold","chmP16","chm"
"130","sit","P16","cold","1","stem1",0,1,"sitcold","sitP16","sit"
"131","arc","P16","cold","1","stem1",5.420360905,1,"arccold","arcP16","arc"
"132","hab","P16","cold","1","stem1",1.814540524,1,"habcold","habP16","hab"
"133","lyc","P16","cold","0","stem1",6.348492751,1,"lyccold","lycP16","lyc"
"134","chi","P17","cold","1","stem1",0,1,"chicold","chiP17","chi"
"135","sit","P17","cold","1","stem1",3.914050276,1,"sitcold","sitP17","sit"
"136","chm","P17","cold","1","stem1",3.64347554,1,"chmcold","chmP17","chm"
"137","arc","P17","cold","1","stem1",1.515176802,1,"arccold","arcP17","arc"
"138","oid","P17","cold","2","stem1",0,1,"oidcold","oidP17","oid"
"139","hab","P17","cold","1","stem1",1.565140294,1,"habcold","habP17","hab"
"140","pim","P17","cold","1","stem1",3.078856785,1,"pimcold","pimP17","pim"
"141","pim","P18","cold","0","stem1",9.609366851,1,"pimcold","pimP18","pim"
"142","arc","P18","cold","1","stem1",1.42213414,1,"arccold","arcP18","arc"
"143","oid","P18","cold","1","stem1",0,1,"oidcold","oidP18","oid"
"144","hab","P18","cold","1","stem1",0,1,"habcold","habP18","hab"
"145","pen","P18","cold","1","stem1",0,1,"pencold","penP18","pen"
"146","chm","P18","cold","0","stem1",2.763325336,1,"chmcold","chmP18","chm"
